movieId,avg_rating,count
1,3.8935076093890357,76813
2,3.2781786884703235,30209
3,3.1712705436156763,15820
4,2.8683949801849407,3028
5,3.0769571546104677,15801
6,3.862166405023548,31850
7,3.372339061297769,15596
8,3.1180555555555554,1584
9,3.0031777339469645,4563
10,3.4348348692118367,34942
11,3.6587677725118484,20256
12,2.683881230116649,4715
13,3.3617208077260754,2278
14,3.4287465743545362,6933
15,2.7348414896891353,3249
16,3.829663212435233,23932
17,3.9458967046894804,25248
18,3.4201555023923444,6688
19,2.668061707079048,26642
20,2.8901697757283586,4771
21,3.56551961196196,26183
22,3.298683055311677,11390
23,3.161536953538522,5101
24,3.174351585014409,9369
25,3.664656188605108,25450
26,3.604309500489716,3063
27,3.42091705306543,1941
28,4.038318558764655,3497
29,3.9119195787458114,10445
30,3.6397966594045026,1377
31,3.235021132012928,12067
32,3.896593001841621,59730
33,3.06,75
34,3.594554087750013,37698
35,3.4936948297604036,1586
36,3.9239437774044177,24403
37,2.960674157303371,89
38,2.942643391521197,802
39,3.4305581805581804,31746
40,3.6503164556962027,948
41,3.8429792192658767,5149
42,3.051104455260202,2671
43,3.4656389301634474,2692
44,2.643615088305836,13759
45,3.3734298060496433,9951
46,3.264033264033264,3367
47,4.087747083726739,65666
48,2.978704020043275,17562
49,3.550724637681159,276
50,4.267865227113715,72893
51,2.611111111111111,36
52,3.5298387096774193,10540
53,3.677710843373494,166
54,2.832437275985663,1116
55,3.230182926829268,984
56,2.0602409638554215,83
57,3.3182707355242567,2556
58,3.9639141022802744,13551
59,3.5985576923076925,208
60,3.064891846921797,7813
61,3.3272292993630574,2512
62,3.7409583333333334,24000
63,3.130197682344922,2934
64,2.835374149659864,2205
65,2.3978181212524983,6004
66,2.158317399617591,2615
67,3.342391304347826,184
68,3.45533033033033,1332
69,3.5506576608602916,5626
70,3.339953667081026,17698
71,2.348310567936736,1391
72,3.4774305555555554,1440
73,3.796403712296984,3448
74,3.2968426501035197,3864
75,2.448445171849427,611
76,3.025286757038582,3836
77,3.4393939393939394,231
78,3.1681887366818873,1314
79,3.1557082617523036,6403
80,3.7307073954983925,622
81,3.264279624893436,3519
82,4.014135556361,2759
83,3.6491085899513775,617
84,3.3779761904761907,168
85,3.5387447405329593,2852
86,3.4840025767661587,4657
87,2.4164502164502166,1155
88,3.1290348612007746,6196
89,3.128964941569282,3594
90,3.335526315789474,228
92,2.8486183420104125,2497
93,2.5024379432624113,2256
94,3.5282555282555284,4477
95,3.1049476113023413,26437
96,3.68546845124283,523
97,4.010626552580734,3623
98,2.6649484536082473,97
99,3.1114690721649483,776
100,3.230375806092951,4497
101,3.75595567867036,5415
102,2.422809457579972,2157
103,3.266966475878986,1223
104,3.3986451066575265,24799
105,3.3358692833059567,11567
106,3.407142857142857,140
107,3.201210015574458,8347
108,3.051094890510949,137
109,2.3333333333333335,18
110,3.9961662738035333,75514
111,4.081329543417582,39051
